time,open,high,low,close,tick_volume,spread,real_volume
2026-04-20 04:45:00+00:00,4806.23,4814.22,4805.8,4807.73,3875,30,0
2026-04-20 05:00:00+00:00,4807.74,4809.03,4800.63,4800.88,4158,37,0
2026-04-20 05:15:00+00:00,4800.79,4803.73,4798.25,4800.13,2469,30,0
2026-04-20 05:30:00+00:00,4800.12,4801.83,4794.63,4796.09,3493,38,0
2026-04-20 05:45:00+00:00,4796.2,4797.34,4793.0,4797.08,3093,37,0
2026-04-20 06:00:00+00:00,4797.01,4798.24,4790.34,4791.47,3356,41,0
2026-04-20 06:15:00+00:00,4791.48,4795.82,4788.65,4795.06,4087,46,0
2026-04-20 06:30:00+00:00,4795.08,4796.56,4789.9,4793.32,2290,46,0
2026-04-20 06:45:00+00:00,4793.29,4794.57,4789.01,4790.81,1612,38,0
2026-04-20 07:00:00+00:00,4790.85,4795.49,4790.78,4792.67,1404,30,0
2026-04-20 07:15:00+00:00,4792.31,4795.55,4791.5,4794.51,1478,46,0
2026-04-20 07:30:00+00:00,4794.53,4794.6,4787.14,4787.29,1929,38,0
2026-04-20 07:45:00+00:00,4787.37,4793.08,4787.37,4788.79,2098,30,0
2026-04-20 08:00:00+00:00,4788.73,4792.97,4784.23,4786.22,1896,39,0
2026-04-20 08:15:00+00:00,4786.25,4789.33,4785.1,4787.74,2053,43,0
2026-04-20 08:30:00+00:00,4787.62,4795.91,4779.55,4780.63,4645,30,0
2026-04-20 08:45:00+00:00,4780.64,4793.08,4780.63,4790.66,4260,30,0
2026-04-20 09:00:00+00:00,4790.47,4793.68,4785.28,4790.58,4803,30,0
2026-04-20 09:15:00+00:00,4790.6,4790.6,4783.72,4785.97,3880,30,0
2026-04-20 09:30:00+00:00,4786.0,4792.01,4785.41,4789.95,4029,30,0
2026-04-20 09:45:00+00:00,4789.91,4795.19,4785.29,4795.19,4945,30,0
2026-04-20 10:00:00+00:00,4795.24,4801.51,4793.8,4797.27,4177,30,0
2026-04-20 10:15:00+00:00,4797.25,4805.57,4794.02,4797.67,3699,30,0
2026-04-20 10:30:00+00:00,4797.55,4798.6,4789.88,4797.47,3920,30,0
2026-04-20 10:45:00+00:00,4797.46,4797.47,4786.84,4789.58,3289,30,0
2026-04-20 11:00:00+00:00,4789.56,4791.69,4785.98,4788.96,3210,30,0
